,Ticker,Implosion_Date
135,BACK,2022-10-02
136,BAND,2022-02-27
137,BARK,2022-01-09
138,BB,2011-11-27
139,BBIO,2022-01-02
140,BBLG,2022-10-16
141,BBOX,2017-08-13
142,BBQ,2015-11-15
143,BCAB,2022-01-16
144,BCDA,2017-12-31
145,BCDA,2010-10-24
146,BCLI,2021-03-07
147,BDRX,2019-05-19
148,BDSI,2016-05-08
149,BDSX,2021-12-05
150,BDTX,2021-07-18
151,BEDU,2021-12-12
152,BEST,2022-04-24
153,BFI,2022-05-15
154,BFRI,2022-10-30
155,BHAT,2022-08-28
156,BHC,2016-03-06
157,BHG,2022-06-26
158,BIGC,2022-03-13
159,BILI,2022-01-23
161,BIMI,2011-06-26
160,BIMI,2022-01-09
162,BIOL,2017-12-10
163,BIOR,2022-05-01
164,BIRD,2022-11-06
165,BITF,2022-05-22
166,BIVI,2021-10-10
167,BKKT,2022-05-01
168,BKSY,2022-01-09
169,BLBX,2020-01-05
170,BLBX,2022-06-12
171,BLIN,2018-10-21
172,BLND,2022-07-17
173,BLNK,2011-01-23
174,BLPH,2019-01-27
175,BLRX,2019-08-11
176,BNED,2022-05-01
177,BNGO,2019-08-25
178,BNMV,2021-12-26
179,BNR,2022-01-02
180,BNTC,2016-01-03
181,BODY,2022-01-16
182,BOLT,2022-02-06
183,BON,2022-07-10
184,BOY,2015-11-08
185,BPT,2019-07-28
186,BPTH,2017-05-14
187,BPTS,2022-02-27
188,BRDS,2022-11-13
189,BRFH,2022-10-30
190,BRQS,2022-01-02
191,BRTX,2018-11-25
192,BSFC,2022-04-10
193,BSGM,2022-03-13
195,BTBT,2019-07-21
194,BTBT,2022-01-30
196,BTCM,2022-01-23
197,BTCS,2016-06-19
198,BTCS,2011-11-20
199,BTE,2015-08-02
200,BTOG,2022-06-05
201,BTTX,2022-03-20
202,BTU,2019-11-17
203,BW,2018-04-15
204,BWEN,2010-08-15
205,BXRX,2021-05-09
206,BYND,2022-03-13
207,BYSI,2021-12-05
208,BZUN,2022-03-06
209,CANO,2022-11-13
210,CAPR,2018-12-16
211,CAPR,2012-05-27
212,CARM,2021-12-12
213,CARV,2010-11-21
214,CASC,2012-12-23
215,CASI,2022-05-01
216,CBAT,2021-12-05
217,CBAY,2015-07-05
218,CBIO,2011-11-13
219,CBUS,2022-01-23
220,CCCC,2022-04-10
221,CDLX,2022-05-08
222,CDNA,2022-06-19
223,CDRO,2022-05-15
224,CDXC,2022-01-23
225,CDXS,2022-08-21
226,CDZI,2021-12-05
227,CEAD,2022-02-13
228,CEAD,2015-03-22
229,CEIX,2020-02-02
230,CELH,2010-05-30
231,CELL,2021-09-26
232,CELU,2022-09-11
233,CELZ,2017-10-08
234,CENN,2013-09-29
235,CETX,2018-12-16
236,CFRX,2022-07-17
237,CGC,2022-01-02
238,CGEN,2022-05-08
239,CGNT,2022-04-10
240,CGRN,2015-10-04
241,CHCI,2015-11-29
242,CHEK,2018-02-11
243,CHGG,2021-11-07
244,CHRD,2015-03-01
245,CIFR,2022-01-16
246,CIN,2011-07-24
247,CIO,2021-11-21
248,CIVI,2015-07-12
249,CJJD,2022-01-30
250,CK,2013-09-29
251,CLDX,2016-02-07
252,CLE,2013-04-07
253,CLIR,2021-12-05
254,CLLS,2022-02-13
255,CLMT,2016-04-24
256,CLOV,2022-01-09
257,CLPT,2016-06-12
258,CLRB,2010-02-28
259,CLRO,2018-08-12
260,CLSD,2022-05-15
261,CLSD,2018-11-11
263,CLSK,2019-08-04
262,CLSK,2022-06-19
264,CLVR,2021-12-19
265,CMCT,2019-09-08
266,CMMB,2021-10-03
267,CMRA,2022-06-26
268,CMRX,2016-01-03
269,CNSP,2022-01-02
270,CNTB,2022-03-20
271,CNTG,2022-03-06
272,CNXA,2022-09-18
273,COCP,2013-04-07
274,COE,2021-06-06
275,COEP,2022-11-06
276,COGT,2019-04-21
277,COMS,2016-01-03
1189,CORR,2020-04-19
278,CPRX,2016-02-21
279,CPTN,2022-04-03
280,CRBP,2022-01-02
281,CRCT,2022-05-15
282,CRDF,2017-03-19
283,CREX,2013-05-26
284,CRGE,2011-03-13
286,CRIS,2017-11-19
285,CRIS,2022-01-09
287,CRK,2014-12-07
288,CRKN,2022-04-17
289,CRMD,2011-11-06
290,CRMD,2017-04-30
291,CRNC,2022-02-27
292,CSIQ,2011-10-02
293,CSSE,2022-01-30
294,CTRM,2020-02-16
295,CTRN,2022-04-03
296,CTXR,2016-09-04
297,CUDA,2018-12-09
298,CUE,2022-05-01
299,CUEN,2011-09-18
300,CURI,2022-01-23
301,CURO,2022-10-02
302,CVAC,2022-01-16
303,CVEO,2015-05-24
304,CVNA,2022-04-24
305,CWBR,2021-12-05
306,CYCC,2015-03-08
307,CYCN,2022-01-30
308,CYN,2022-10-23
309,CYRX,2010-03-07
310,CYT,2022-07-24
311,CYTH,2022-05-08
312,CYTO,2016-10-16
313,CZOO,2022-03-06
314,DARE,2017-07-30
315,DATS,2022-08-14
316,DAVE,2022-05-08
317,DBGI,2022-05-15
318,DCFC,2022-10-02
319,DCTH,2019-05-05
320,DDL,2022-07-03
321,DEXO,2011-02-06
322,DGLY,2022-10-30
323,DHT,2011-11-06
324,DKNG,2022-01-23
325,DLNG,2019-02-03
326,DLPN,2017-12-24
327,DM,2022-01-02
328,DMAC,2022-01-30
329,DMS,2022-03-06
330,DMTK,2022-01-09
331,DNA,2022-04-24
332,DNMR,2021-12-19
333,DOCU,2022-05-01
334,DOGZ,2022-08-28
335,DOMA,2022-02-20
336,DOMH,2011-03-06
337,DOMO,2022-08-28
338,DOYU,2021-07-18
339,DQ,2011-10-09
340,DRMA,2022-08-14
341,DRS,2015-09-06
342,DRUG,2022-10-16
343,DSP,2022-02-13
344,DTIL,2022-03-20
345,DTSS,2019-03-10
346,DUO,2021-07-11
347,DWSN,2014-12-14
348,DXYN,2022-06-19
349,EAR,2021-10-17
350,EAS,2011-07-31
351,EBET,2022-04-17
352,EBON,2021-07-18
353,ECOR,2019-09-29
354,EDIT,2022-02-13
355,EDN,2019-08-18
356,EDN,2012-04-22
357,EDSA,2018-05-13
358,EDU,2021-07-25
359,EFOI,2016-08-21
360,EFTR,2022-04-17
361,EGHT,2022-05-29
362,EGIO,2022-11-13
363,EGLE,2014-08-03
364,EGLX,2022-09-25
365,EGY,2015-04-05
366,EHTH,2022-02-06
367,EIGR,2015-05-03
368,EJH,2022-05-15
369,EKSO,2019-09-01
370,ELDN,2016-09-25
371,ELON,2015-07-26
372,ELOX,2013-04-07
373,ELTX,2022-02-06
374,ELVN,2021-04-04
376,ELYS,2010-01-03
375,ELYS,2022-05-08
377,EM,2022-04-03
378,EMKR,2022-09-25
379,ENG,2022-01-02
380,ENLV,2016-05-22
381,ENPH,2015-08-23
382,ENSC,2021-08-08
383,ENVB,2018-02-04
384,EOSE,2022-01-16
385,EPIX,2022-03-06
386,EPIX,2017-06-11
387,ERNA,2022-01-02
388,ESEA,2019-02-10
389,ESOA,2012-09-30
391,ESPR,2021-10-17
390,ESPR,2015-10-11
392,EVBG,2022-01-23
393,EVGN,2022-01-23
394,EVLO,2022-02-13
395,EVOK,2021-05-16
396,EVTV,2018-06-17
397,EXPR,2022-09-18
398,FAMI,2021-10-24
399,FAMI,2019-07-21
400,FATH,2022-09-18
401,FAZE,2022-10-23
402,FBIO,2013-12-29
403,FBIO,2022-04-17
404,FBP,2010-06-13
405,FBRX,2019-09-01
406,FCEL,2016-12-04
407,FEDU,2019-02-17
408,FET,2019-07-21
409,FGEN,2021-07-18
410,FKWL,2021-10-10
411,FLA,2011-10-02
412,FLA,2015-02-01
413,FLGC,2022-05-15
414,FLI,2017-02-19
415,FLJ,2020-11-08
416,FNCH,2022-04-03
417,FREQ,2021-05-16
418,FRGE,2022-08-14
1187,FRGT,2018-09-02
419,FRLN,2021-08-08
420,FRO,2011-08-07
421,FRSX,2022-01-02
422,FRTX,2013-08-18
423,FSLR,2011-11-13
424,FSLY,2022-02-20
425,FSTR,2015-09-06
426,FTCH,2022-02-20
427,FTFT,2021-12-05
428,FTHM,2022-04-10
429,FUBO,2022-01-23
430,FUV,2022-04-24
431,FVRR,2022-01-30
432,FWBI,2021-09-26
433,FXLV,2022-07-17
434,GALT,2014-11-30
435,GAME,2020-03-01
436,GAN,2022-01-23
437,GATO,2022-03-13
438,GBIO,2022-04-24
439,GBNH,2022-02-13
440,GCTK,2018-10-14
441,GDC,2021-12-19
442,GDRX,2022-05-08
443,GEHI,2022-03-13
444,GENI,2022-01-16
445,GEVO,2012-09-30
446,GGE,2011-10-16
447,GHSI,2021-12-19
448,GLBS,2017-05-14
449,GLG,2018-07-29
450,GLMD,2022-05-08
453,GLR,2012-08-12
452,GLR,2016-05-15
451,GLR,2015-01-04
454,GLT,2022-08-07
455,GLTO,2022-01-23
456,GMBL,2022-01-02
457,GMGI,2011-07-31
458,GNFT,2020-05-17
459,GNK,2015-10-04
460,GNLN,2021-11-21
461,GOCO,2021-11-21
462,GOEV,2022-09-25
463,GOGL,2015-11-22
464,GOL,2015-07-26
465,GOTU,2021-04-11
466,GP,2022-01-16
467,GPRO,2015-12-06
468,GRAB,2022-03-06
469,GRCL,2022-01-09
470,GREE,2022-02-20
471,GRNQ,2019-06-16
472,GRNQ,2022-01-23
473,GROV,2022-09-25
474,GRTX,2022-01-23
475,GRWG,2021-12-05
476,GSL,2016-01-17
477,GSM,2018-12-02
478,GTBP,2021-12-05
479,GTBP,2019-03-31
480,GTH,2021-12-19
481,GTK,2016-12-18
482,GTK,2012-02-26
483,GTK,2013-09-29
484,GURE,2011-05-01
485,GWAV,2018-08-12
486,GYRO,2014-01-19
487,HALL,2020-03-15
488,HARP,2022-01-23
489,HCAT,2022-05-01
490,HCDI,2022-11-20
491,HCT,2012-11-25
492,HCT,2010-10-24
493,HDSN,2018-05-13
494,HEAR,2014-11-16
495,HEPA,2017-12-17
1190,HGEN,2017-10-29
1191,HGEN,2021-10-03
1186,HHS,2018-11-25
496,HIPO,2022-01-16
497,HITI,2022-06-19
499,HIVE,2012-02-05
498,HIVE,2018-08-19
500,HLGN,2022-08-21
501,HLTH,2022-09-25
502,HLX,2015-08-16
503,HNST,2022-05-08
504,HOFV,2022-01-23
505,HOOK,2021-11-21
506,HPC,2015-12-06
507,HQCL,2011-09-11
508,HROW,2011-03-13
509,HRTX,2022-05-08
510,HSDT,2019-04-21
511,HSTO,2019-03-24
512,HUGE,2019-07-28
513,HUIZ,2021-08-15
514,HUT,2022-05-15
515,HUYA,2021-12-05
516,HYFM,2022-01-23
517,HYMC,2021-07-04
518,HYPR,2022-01-30
519,HYZN,2022-08-21
520,IBCP,2010-06-27
521,IBRX,2021-12-05
522,ICAD,2022-01-23
523,ICCM,2022-09-18
524,ICD,2020-02-02
525,ICLK,2022-01-30
526,ICPT,2020-10-25
527,IDAI,2022-02-27
528,IDN,2015-01-11
529,IDN,2022-03-13
530,IFBD,2022-04-24
531,IGMS,2021-12-19
532,IH,2021-10-10
533,IKT,2021-12-26
534,ILPT,2022-08-28
535,IMAB,2022-01-30
536,IMCC,2022-04-24
537,IMMP,2013-09-22
538,IMNM,2022-01-23
539,IMNN,2013-02-03
540,IMTE,2022-07-10
541,IMUX,2019-04-14
542,IMVT,2021-06-06
543,INBS,2021-12-26
544,INDP,2019-09-15
545,INM,2022-03-06
546,INPX,2015-11-22
547,INSG,2022-05-08
548,INTZ,2016-04-10
549,INTZ,2021-07-25
550,INVE,2015-10-04
551,INZY,2021-12-05
552,IOBT,2022-11-06
1193,IONM,2022-08-14
553,IOVA,2012-12-09
554,IPA,2012-01-01
555,IPDN,2015-08-09
556,IPI,2015-11-01
557,IPW,2022-05-15
558,IQ,2021-12-05
559,IRNT,2022-09-04
560,IRON,2021-08-15
561,ISPC,2022-07-03
562,ISPO,2022-08-14
563,ISUN,2022-09-25
564,ITRM,2021-12-05
565,ITRN,2014-03-30
566,IVDA,2022-04-10
567,IVR,2020-03-22
568,IVVD,2022-08-07
569,JAGX,2017-10-01
570,JFU,2022-08-28
571,JG,2021-12-05
572,JILL,2019-06-30
573,JKS,2011-09-18
574,JMIA,2021-12-05
575,JNP,2012-01-29
576,JSPR,2022-03-06
577,JT,2019-12-08
578,JWEL,2022-08-14
579,JXJT,2016-01-17
580,JYNT,2022-05-08
581,JZXN,2022-05-22
582,KA,2021-11-14
583,KALA,2021-10-10
584,KALV,2016-06-05
585,KAVL,2022-02-13
586,KBNT,2022-04-10
587,KC,2021-12-05
588,KCP,2015-07-26
589,KERN,2022-01-23
590,KIRK,2019-06-09
591,KIRK,2022-04-24
592,KLXE,2019-09-29
593,KMDA,2014-09-14
594,KOD,2022-08-14
595,KOPN,2022-03-06
596,KPRX,2018-02-25
597,KRBP,2021-11-21
598,KRNT,2022-05-15
599,KRON,2022-02-06
600,KSPN,2019-04-14
601,KSPN,2022-01-16
602,KTRA,2017-06-11
603,KUKE,2022-07-10
604,KWE,2022-04-17
606,KXIN,2022-01-16
605,KXIN,2019-05-05
607,KZIA,2022-08-07
608,LAB,2015-08-30
609,LABP,2022-02-06
610,LAW,2022-08-14
611,LDI,2022-02-13
612,LEDS,2022-05-01
614,LEJU,2017-07-30
613,LEJU,2022-01-30
615,LEV,2022-09-25
616,LFLY,2022-08-07
617,LFMD,2021-11-28
618,LGMK,2015-10-18
619,LGO,2015-02-08
620,LIDR,2022-06-26
622,LIFE,2016-05-08
621,LIFE,2018-05-20
623,LIFW,2022-05-29
624,LILM,2022-02-27
625,LIQT,2022-04-10
626,LIZI,2021-12-05
627,LKCO,2020-01-19
628,LKCO,2022-03-13
629,LL,2015-05-24
630,LLAP,2022-09-25
631,LMDX,2022-06-05
632,LMFA,2018-03-25
633,LMND,2022-01-23
634,LMNL,2018-11-11
635,LOOP,2022-10-30
636,LPCN,2018-01-21
637,LPRO,2022-06-19
638,LPSN,2022-05-15
639,LPTX,2018-12-23
640,LRFC,2020-03-22
641,LRMR,2019-03-17
642,LRMR,2016-01-24
643,LSPD,2022-01-23
644,LSTA,2022-10-16
645,LTCH,2022-02-27
646,LUMO,2018-08-19
647,LVO,2021-12-26
648,LX,2022-01-30
649,LYFT,2022-05-29
650,MACK,2017-06-18
651,MAPS,2021-12-12
652,MARA,2018-09-30
653,MARK,2022-05-15
654,MBIO,2022-01-30
655,MBOT,2011-08-07
656,MCLD,2022-10-16
657,MCM,2014-11-23
658,MCOM,2022-01-30
659,MCRB,2016-07-31
660,MDGL,2015-10-25
661,MDIA,2022-10-16
662,MDVL,2015-06-21
664,MEIP,2022-03-27
663,MEIP,2015-03-29
665,MESA,2022-05-15
666,METX,2021-04-04
667,MF,2022-07-10
668,MFH,2018-06-03
669,MGNI,2022-01-23
670,MGNX,2022-03-06
671,MGS,2012-04-08
672,MHLD,2018-12-09
673,MIGI,2014-01-05
674,MINM,2022-04-03
675,MITT,2020-03-22
676,MKFG,2022-05-29
677,ML,2021-12-05
678,MMAT,2022-01-23
680,MNMD,2022-01-16
679,MNMD,2018-02-11
681,MNTS,2021-12-19
682,MOBQ,2021-12-19
683,MOGO,2022-04-24
684,MOGU,2021-12-05
685,MOLN,2022-06-19
686,MOTS,2022-01-30
687,MRIN,2022-06-05
689,MRKR,2010-03-28
688,MRKR,2022-01-16
690,MRTX,2016-06-12
691,MSGM,2022-01-16
692,MTC,2022-01-02
693,MTEM,2022-01-30
694,MTEX,2011-08-28
695,MTTR,2022-05-01
696,MULN,2015-05-31
697,MVIS,2022-01-02
698,MVIS,2011-11-13
699,MVO,2015-07-26
700,MVST,2022-06-12
701,MWT,2015-12-06
702,MYMD,2018-12-16
703,MYSZ,2019-11-24
704,NBSE,2022-01-16
705,NBSE,2018-01-14
706,NCMI,2022-09-25
707,NCPL,2015-04-26
708,NCPL,2022-07-17
709,NCSM,2018-12-23
710,NCTY,2022-01-02
711,NDRA,2022-01-02
712,NEGG,2022-05-15
713,NEO,2022-03-13
714,NEON,2018-06-03
715,NEPH,2010-06-27
716,NEPT,2021-08-15
717,NETI,2014-12-14
718,NEXI,2022-03-27
719,NGM,2022-10-23
720,NGZ,2013-09-22
721,NINE,2019-08-18
722,NISN,2021-12-19
723,NIU,2022-03-13
724,NKLA,2022-10-16
725,NKTR,2022-03-20
726,NLS,2022-01-16
727,NLTX,2018-07-01
728,NLTX,2022-01-23
729,NMM,2015-11-29
730,NMRD,2019-02-10
731,NN,2022-06-05
732,NNDM,2019-05-26
733,NOGN,2022-09-25
734,NORD,2010-12-05
735,NORD,2020-05-17
736,NPCE,2022-06-19
737,NRBO,2018-09-23
738,NRP,2015-05-31
739,NRXP,2021-10-03
740,NSK,2012-09-30
741,NSPR,2014-11-30
742,NSTG,2022-05-08
743,NTG,2020-03-15
744,NTZ,2019-07-28
745,NURO,2010-08-22
746,NUVB,2022-08-07
747,NUWE,2015-12-20
748,NUZE,2022-06-19
749,NVAX,2016-09-25
750,NVAX,2022-04-10
751,NVIV,2017-12-10
752,NVNO,2019-11-10
753,NVTA,2022-01-09
754,NVVE,2022-07-31
755,NXPL,2012-12-16
756,NXPL,2016-03-06
757,NXTC,2020-10-25
758,NXTP,2021-12-05
759,NYXH,2022-07-03
760,OB,2022-08-21
761,OBLG,2021-11-21
762,OCFT,2021-08-08
763,OCG,2022-09-18
764,OCGN,2018-09-09
765,OCLR,2011-08-07
766,OCUP,2019-01-27
767,OCX,2022-01-23
768,ODV,2012-05-20
769,OKTA,2022-05-22
770,OLB,2022-01-16
771,OLB,2015-06-14
772,OLMA,2021-12-05
773,OLO,2022-08-21
774,OLPX,2022-11-13
775,OMI,2018-12-23
776,OMIC,2022-07-03
777,OMQS,2016-07-17
778,ONCR,2021-11-14
779,ONCT,2018-09-23
780,ONCT,2013-10-06
781,ONTX,2014-07-27
782,OPAD,2022-07-03
783,OPEN,2022-08-28
784,OPGN,2017-07-16
785,OPHC,2010-01-17
786,OPRT,2022-08-21
787,OPRX,2022-07-24
788,OPXS,2015-11-01
789,ORCH,2018-09-23
790,ORIC,2022-03-06
791,ORIG,2015-07-26
792,ORRF,2011-10-30
793,ORTX,2021-10-24
794,OSBC,2010-07-04
795,OTLK,2019-06-02
796,OTLY,2022-05-22
797,OTMO,2022-08-21
798,OTRK,2010-07-18
799,OUST,2022-01-23
800,OV,2017-11-19
801,OWLT,2022-09-25
802,OZON,2022-01-23
804,PACB,2022-01-23
803,PACB,2011-10-30
805,PACK,2022-06-12
806,PAGS,2022-02-06
807,PALI,2017-07-30
808,PALT,2019-10-06
809,PANL,2015-02-08
810,PASG,2022-01-23
811,PATH,2022-04-24
812,PAVM,2022-01-16
813,PAVM,2018-01-28
814,PAVS,2021-12-19
815,PBLA,2022-08-28
816,PBTS,2022-10-09
817,PBYI,2019-06-09
818,PCSA,2015-09-27
819,PDSB,2018-04-01
820,PEGY,2021-12-19
821,PERI,2015-01-25
822,PET,2022-10-16
823,PETV,2021-08-15
824,PETV,2016-05-29
826,PETZ,2018-09-23
825,PETZ,2022-01-16
827,PFIE,2015-03-22
828,PFMT,2015-05-03
829,PGEN,2022-02-06
830,PHIO,2015-01-25
831,PHUN,2019-04-14
832,PHX,2020-03-15
833,PIXY,2019-04-21
834,PLBY,2022-04-17
835,PLSE,2022-02-13
836,PMCB,2021-08-15
837,PMN,2015-01-18
838,PMTS,2017-08-06
839,POAI,2016-02-28
840,POLA,2022-01-02
841,PR,2019-08-11
842,PRAX,2022-08-14
843,PRCH,2022-04-10
844,PRE,2022-11-20
845,PRFX,2022-01-23
846,PRLD,2021-10-10
847,PRPL,2021-11-28
848,PRQR,2016-01-10
849,PRSO,2018-10-07
850,PRTA,2018-04-29
851,PRTG,2018-01-07
852,PRTG,2022-01-23
853,PRWT,2010-01-17
854,PSFE,2021-11-14
855,PSHG,2017-04-02
856,PSNL,2022-04-17
857,PSTV,2017-10-15
858,PT,2022-07-03
859,PTIX,2022-05-15
860,PTON,2021-12-05
861,PTPI,2022-05-22
862,PULM,2018-04-01
863,PYPD,2022-09-04
864,PYPL,2022-04-24
865,QBTS,2022-11-06
866,QH,2021-10-24
867,QIPT,2016-02-14
868,QLGN,2017-04-30
869,QNCX,2021-10-31
870,QNRX,2018-12-30
871,QRTEA,2022-05-08
872,QUBT,2010-03-28
873,QURE,2016-06-26
874,RAD,2017-07-09
875,RAIL,2019-11-17
876,RCAT,2014-12-07
877,RCON,2021-12-19
879,RCRT,2022-04-24
878,RCRT,2013-09-29
880,RDFN,2022-03-06
881,RDHL,2021-11-21
882,RDW,2022-06-26
883,REAL,2022-05-15
884,REE,2022-02-20
885,REKR,2022-01-23
886,RELI,2022-07-17
887,RERE,2022-06-19
888,RETO,2018-12-09
889,REVB,2022-01-23
890,RFL,2021-10-31
891,RGLS,2018-07-08
892,RGO,2012-09-30
893,RGS,2021-10-03
894,RGTI,2022-09-11
895,RIBT,2022-09-25
896,RILY,2010-03-21
897,RKDA,2022-10-16
898,RLMD,2015-08-30
899,RLMD,2022-10-16
900,RLX,2022-01-23
901,RMBL,2019-11-17
902,RMGN,2014-06-08
903,RNAZ,2022-10-30
904,RNG,2022-05-01
905,RNLX,2022-02-27
906,ROKU,2022-02-20
907,ROOT,2021-10-31
908,RPID,2022-07-17
909,RSI,2022-06-12
910,RSLS,2018-05-13
911,RVYL,2022-01-23
912,RVYL,2019-02-24
913,RWLK,2016-10-30
914,RYAM,2019-07-14
915,SABS,2022-04-10
916,SANA,2022-02-06
917,SANG,2022-11-20
918,SASI,2022-11-13
919,SAVA,2014-11-02
921,SAVA,2016-10-09
920,SAVA,2018-07-01
922,SBET,2022-01-16
923,SBIG,2022-06-19
924,SBLK,2015-01-25
925,SBOW,2020-02-02
926,SBX,2013-02-10
927,SCOR,2019-06-30
928,SCTL,2020-05-17
929,SDC,2021-11-28
930,SDIG,2022-10-23
931,SE,2022-03-06
932,SECO,2021-11-21
933,SEED,2011-08-28
934,SEEL,2016-05-08
935,SEER,2022-01-30
936,SELB,2018-12-23
937,SFIX,2021-12-12
938,SFT,2022-01-16
939,SGBX,2019-04-07
940,SGLY,2022-11-20
941,SGLY,2018-03-18
942,SHCR,2022-01-23
943,SHF,2013-06-23
944,SHIP,2010-01-31
945,SHOP,2022-04-24
946,SHPW,2021-12-05
947,SIEN,2022-04-03
948,SIGA,2011-09-25
949,SINT,2015-02-15
950,SISI,2022-03-20
951,SKE,2011-10-09
952,SKIL,2022-09-04
953,SKLZ,2022-01-09
954,SLCA,2019-11-03
955,SLDB,2019-03-03
956,SLGC,2022-09-25
957,SLNH,2022-08-21
958,SLNO,2016-02-07
959,SLQT,2022-01-23
960,SLRX,2018-06-17
962,SLS,2016-07-10
961,SLS,2011-03-06
963,SMLP,2020-03-01
964,SMMT,2018-07-01
965,SMSI,2011-06-12
966,SMTI,2010-02-28
967,SNAP,2022-05-29
968,SNAX,2022-01-09
969,SNCE,2022-05-08
970,SNCR,2017-05-21
971,SNES,2020-01-26
972,SNGX,2011-09-18
973,SNOA,2018-09-16
974,SNSE,2022-02-27
975,SNTI,2022-10-23
976,SOBR,2012-12-02
977,SOL,2011-08-07
978,SOMX,2011-08-07
979,SOND,2022-05-08
980,SONM,2020-05-10
981,SONN,2016-05-29
982,SOPA,2022-11-13
983,SOS,2018-12-23
984,SPCB,2022-05-22
985,SPCE,2022-01-16
986,SPI,2017-01-22
987,SPRB,2021-10-10
988,SPRC,2022-10-16
989,SPRO,2022-04-24
990,SPRU,2021-12-05
991,SPRY,2021-12-05
992,SQ,2022-06-12
993,SQNS,2012-04-22
994,SRP,2012-08-19
995,SRR,2011-12-18
996,SRRK,2022-04-17
997,SRZN,2022-01-23
998,SSKN,2013-06-16
999,SSYS,2015-05-03
1000,STAF,2016-07-03
1001,STG,2021-10-03
1002,STGW,2018-10-14
1003,STIX,2022-08-21
1004,STKH,2022-10-02
1005,STNE,2021-11-21
1006,STRC,2022-10-16
1007,STRR,2022-05-08
1008,STTK,2021-11-21
1010,SUNW,2021-12-12
1009,SUNW,2012-01-29
1011,SUP,2018-12-16
1012,SUPV,2018-08-19
1013,SUR,2018-05-06
