Ticker,Name,Sector,Price,Dividend Yield,1-Year Dividend Growth,5-Year Dividend Growth (Annualized),Dividends Per Share (TTM),Market Cap ($M),Trailing P/E Ratio,Payout Ratio,Beta,52-Week High,52-Week Low
AOSL,Alpha & Omega Semiconductor Ltd,Technology,25.81,0,N/A,N/A,0,715.100584,57.83731671,0,1.811870574,38.87,20.64
APAM,Artisan Partners Asset Management Inc,Financial Services,36.28,0.071664829,0.089285714,-0.012622343,2.171672031,2484.004782,12.95223109,0.716723442,1.373296219,42.27,27.67
APEI,American Public Education Inc,Consumer Defensive,4.69,0,N/A,N/A,0,83.361931,N/A,0,0.745782762,14.22,3.76
APG,APi Group Corporation,N/A,27.64,0,N/A,N/A,0,6517.124874,61.48231013,0,1.21028756,29.57,17.24
APLD,Applied Digital Corporation,Industrials,5.46,0,N/A,N/A,0,580.399338,N/A,0,1.881957357,11.62,1.45
APLE,Apple Hospitality REIT Inc,Real Estate,16.86,0.056939502,0,0.098560543,0.932540211,3857.552691,24.15953336,1.337742377,0.991947608,17.37,13.08
APLS,Apellis Pharmaceuticals Inc,Healthcare,46.83,0,N/A,N/A,0,5549.352424,0,N/A,0.752694313,94.75,19.83
APOG,Apogee Enterprises Inc.,Industrials,44.62,0.021515016,0.090909091,0.065208538,0.946598981,984.868569,9.761805623,0.208962247,1.046213129,51.1,36.02
APPF,Appfolio Inc,Technology,198.06,0,N/A,N/A,0,4287.145361,N/A,0,1.432106513,207.4,100.2
APPH,AppHarvest Inc,N/A,0.0666,0,N/A,N/A,0,0,0,N/A,,,
APPN,Appian Corp,Technology,39.9,0,N/A,N/A,0,1660.611905,N/A,0,1.786930271,54.26,29.8
APPS,Digital Turbine Inc,Technology,5.26,0,N/A,N/A,0,528.720167,N/A,0,3.721612548,20.4,4.34
ARCB,ArcBest Corp,Industrials,120,0.003985321,0,0.084471771,0.478238515,2882.9946,12.11825981,0.050393943,1.521907904,122.6,67.59
ARCH,Arch Resources Inc,Energy,150.6,0.134132465,0,-0.089717898,20.2003492,2766.440676,3.37525582,0.480960695,0.695017873,175.1,102.23
ARCT,Arcturus Therapeutics Holdings Inc,Healthcare,19.58,0,N/A,N/A,0,520.799394,6.4868829,0,1.439104873,37.75,14.21
AREN,Arena Group Holdings Inc (The),N/A,3.86,0,N/A,N/A,0,91.832747,0,N/A,1.003761501,16.5,2.7
ARGO,Argo Group International Holdings Ltd,Financial Services,29.88,0.010374833,N/A,N/A,0.310000002,1051.725174,N/A,N/A,0.37133767,30.13,23.29
ARI,Apollo Commercial Real Estate Finance Inc,Real Estate,10.73,0.130475303,0,-0.05319173,1.331429679,1516.777832,N/A,N/A,1.422933486,11.78,7.84
ARIS,Aris Water Solutions Inc,N/A,9.58,0.037046692,N/A,N/A,0.354907314,288.11005,18.80859449,0.68409274,1.246279514,17.21,6.57
ARKO,ARKO Corp,N/A,7.9,0.015062694,N/A,N/A,0.118995283,937.389155,0,N/A,0.554630404,10.61,6.62
ARL,American Realty Investors Inc.,Real Estate,13.17,0,N/A,N/A,0,212.722406,0.609823827,0,0.347684096,31.59,11.69
ARLO,Arlo Technologies Inc,Industrials,9.21,0,N/A,N/A,0,866.246025,N/A,0,1.839945099,11.54,2.93
ARNC,Arconic Corporation,Industrials,29.99,0,N/A,N/A,0,3009.390455,N/A,0,1.237765427,30.02,16.33
AROC,Archrock Inc,Energy,14.26,0.041238525,0.068965517,0.032646205,0.588061363,2231.683954,27.54315278,1.119690334,1.013426152,14.5,7.63
AROW,Arrow Financial Corp.,Financial Services,23,0.046956522,-1,-1,1.019576681,380.720334,9.79748151,0.433862417,0.781632727,33.34,16.14
ARQT,Arcutis Biotherapeutics Inc,Healthcare,2.44,0,N/A,N/A,0,150.435706,N/A,0,1.294871427,20.11,2.13
ARR,ARMOUR Residential REIT Inc,Real Estate,16.12,0.297766749,4,0.319507911,4.726452104,789.80559,N/A,N/A,1.081163149,28.79,13.32
ARRY,Array Technologies Inc,N/A,18.13,0,N/A,N/A,0,2738.891848,37.45851703,0,1.549532492,26.64,15.67
ARTNA,Artesian Resources Corp.,Utilities,42.13,0.027059103,0.020114943,0.032269237,1.114188689,395.753885,23.81620537,0.644039704,0.496039961,62.01,38.76
ARVN,Arvinas Inc,Healthcare,17.52,0,N/A,N/A,0,937.057603,N/A,0,1.783080386,57.96,13.57
ARWR,Arrowhead Pharmaceuticals Inc.,Healthcare,28.15,0,N/A,N/A,0,3017.480163,N/A,0,1.410762374,42.48,22.87
ASAN,Asana Inc,N/A,20.3,0,N/A,N/A,0,4319.313702,N/A,0,2.446068601,26.27,11.32
ASB,Associated Banc-Corp.,Financial Services,17.64,0.049886621,0.05,0.043167564,0.824791054,2662.57652,7.219332667,0.338029121,1.163947652,24.41,14.1
ASC,Ardmore Shipping Corp,Energy,13.66,0.070735962,N/A,N/A,0.966253242,582.599,0,N/A,0.818060295,18.6,11.42
ASGN,ASGN Inc,Industrials,85.5,0,N/A,N/A,0,4138.2,18.42475512,0,1.408531667,97.8,63.27
ASIX,AdvanSix Inc,Basic Materials,25.88,0.022851635,N/A,N/A,0.591400321,704.273941,6.325548699,0.151641108,1.111672864,44.03,24.2
ASLE,AerSale Corp,N/A,16.24,0,N/A,N/A,0,833.579712,N/A,0,1.12068803,20.81,10.39
ASO,Academy Sports and Outdoors Inc,N/A,48.845,0.007036184,N/A,N/A,0.343682415,3640.652013,6.73647167,0.050765497,0.949505513,68.65,40.45
ASPN,Aspen Aerogels Inc.,Industrials,9.04,0,N/A,N/A,0,634.675249,N/A,0,2.619235196,14.44,5.33
ASTE,Astec Industries Inc.,Industrials,31.15,0.016581187,0,0.033975227,0.516503962,708.244156,40.2411452,0.665855307,1.038783753,56.33,28.97
ASTR,Astra Space Inc,N/A,0.918,0,N/A,N/A,0,13.631625,N/A,0,2.18201819,11.1,0.6212
ATEC,Alphatec Holdings Inc,Healthcare,10.36,0,N/A,N/A,0,1246.507223,N/A,0,1.32614099,19.14,8.66
ATEN,A10 Networks Inc,Technology,10.93,0.021824006,N/A,N/A,0.238536389,809.913,17.71192075,0.3969652,0.769615898,19.48,10.04
ATER,Aterian Inc,N/A,0.3209,0,N/A,N/A,0,27.379988,N/A,0,2.102480354,1.68,0.2602
ATEX,Anterix Inc,Communication Services,31.45,0,N/A,N/A,0,599.033151,N/A,0,0.952368793,40.11,27.2
ATGE,Adtalem Global Education Inc,Consumer Defensive,55.2,0,N/A,N/A,0,2198.530661,21.59402291,0,0.452302521,55.92,33.59
ATHA,Athira Pharma Inc,N/A,1.62,0,N/A,N/A,0,61.648424,0,N/A,1.520127712,4.41,1.38
ATI,ATI Inc,Industrials,41.7,0,N/A,N/A,0,5361.983116,17.951065,0,1.228192642,47.92,27.76
ATIP,ATI Physical Therapy Inc,N/A,7.7299,0,N/A,N/A,0,32.51097,N/A,0,0.666214025,56,6
ATKR,Atkore Inc,Industrials,132.03,0,N/A,N/A,0,4989.920035,6.585579639,0,1.431109998,164.76,90.95
ATLC,Atlanticus Holdings Corp,Financial Services,30,0,N/A,N/A,0,432.93216,5.232820364,0,1.87828381,43.7,21.65
ATNI,ATN International Inc,Communication Services,33.88,0.024376619,0.235294118,0.043167564,0.825879845,528.589018,N/A,N/A,0.605382461,48.78,27.53
ATOM,Atomera Inc,Technology,5.84,0,N/A,N/A,0,150.666265,N/A,0,2.3516589,10.72,5.03
ATRA,Atara Biotherapeutics Inc,Healthcare,1.29,0,N/A,N/A,0,131.479703,N/A,0,2.470847573,5.64,1.17
ATRC,Atricure Inc,Healthcare,36.98,0,N/A,N/A,0,1752.852,0,N/A,1.180975271,59.61,32.9
ATRI,Atrion Corp.,Healthcare,336.8,0.026128266,0.023255814,0.102599478,8.557328807,592.65012,21.78140027,0.55675529,0.735924846,692.25,305.05
ATRO,Astronics Corp.,Industrials,16.05,0,N/A,N/A,0,425.553761,N/A,0,1.735118618,22.44,7.46
ATSG,Air Transport Services Group Inc,Industrials,20.62,0,N/A,N/A,0,1459.096831,9.608423972,0,0.847293818,29.47,14.39
AUB,Atlantic Union Bankshares Corp,Financial Services,31.99,0.018216239,0,0.054577943,0.582737501,2399.400545,11.78678541,0.214241728,1.285876292,40.19,22.84
AUPH,Aurinia Pharmaceuticals Inc,Healthcare,8.23,0,N/A,N/A,0,1180.366879,0,N/A,1.465785524,12.43,4.07
AURA,Aura Biosciences Inc,N/A,11.98,0,N/A,N/A,0,457.601234,0,N/A,1.415876866,14.38,6.6
AVA,Avista Corp.,Utilities,35.04,0.052511416,0.045454545,0.043100878,1.786961747,2710.961124,16.42996785,0.819707223,0.614164649,44.03,30.53
AVAH,Aveanna Healthcare Holdings Inc,N/A,1.47,0,N/A,N/A,0,279.924894,N/A,0,1.035171124,2.05,0.6664
AVAV,AeroVironment Inc.,Industrials,119.82,0,N/A,N/A,0,3150.120521,N/A,0,1.089657272,124.33,80.58
AVD,American Vanguard Corp.,Basic Materials,9.84,0.012157425,N/A,N/A,0.11962906,288.282696,25.05934427,0.302628536,0.599090326,23.96,8.78
AVDX,AvidXchange Holdings Inc,Healthcare,7.6,0,N/A,N/A,0,1536.316227,0,N/A,1.334665445,12.75,6.88
AVID,"Avid Technology, Inc.",Communication Services,27.04,0,N/A,N/A,0,1190.779949,36.86054632,0,1.06731682,33.41,19.78
AVIR,Atea Pharmaceuticals Inc,N/A,3.27,0,N/A,N/A,0,272.715963,0,N/A,1.084075556,6.21,2.85
AVNS,Avanos Medical Inc,Healthcare,22.09,0,N/A,N/A,0,1025.540819,N/A,0,1.110491231,31.99,17.24
AVNT,Avient Corp,N/A,33.97,0.030320871,0.042105263,0.048837287,0.980463936,3094.009884,5.229901765,0.152958492,1.587974355,43.89,27.51
AVNW,Aviat Networks Inc,Technology,30.51,0,N/A,N/A,0,357.578634,19.56226456,0,1.172866101,39.8,21.15
AVO,Mission Produce Inc,N/A,9.45,0,N/A,N/A,0,668.985534,N/A,0,0.525302362,16.8,8.55
AVPT,AvePoint Inc,N/A,7.6,0,N/A,N/A,0,1409.024625,N/A,0,1.240730374,7.67,3.75
AVTA,Avantax Inc,N/A,25.83,0,N/A,N/A,0,949.511678,2.701651638,0,0.823372181,30.23,19.13
AVTE,Aerovate Therapeutics Inc,N/A,11.47,0,N/A,N/A,0,317.1455,0,N/A,1.674088483,30.79,9.41
AVXL,Anavex Life Sciences Corporation,Healthcare,6.04,0,N/A,N/A,0,494.984735,0,N/A,1.803854887,15.24,4.9
AWR,American States Water Co.,Utilities,82.91,0.020745387,0.081761006,0.093521062,1.611605654,3065.745161,26.2251406,0.511620843,0.615127225,99.16,75.2
AX,Axos Financial Inc.,Financial Services,40.7,0,N/A,N/A,0,2349.699197,7.090156688,0,1.795257547,51.46,33.15
BTAI,BioXcel Therapeutics Inc,Healthcare,4.64,0,N/A,N/A,0,135.8128,N/A,0,1.637991866,34.13,2.23
BTU,Peabody Energy Corp.,Energy,23.7,0.006318538,N/A,N/A,0.149749361,3147.36,2.1634314,0.016750488,0.991010848,32.67,17.65
BUSE,First Busey Corp.,Financial Services,20.88,0.044399444,0.043478261,0.027066087,0.927060385,1154.277365,8.797644604,0.397879993,0.866990107,25.81,15.53
